Column1;Code;ph;bn;pw; pnp;pb;wp
Diff 1A PH17;1A PH17;8075;-331;-588;1203;1334;-461
Diff 2A PH29;2A PH29;3013;69;-996;13288;2375;-288
Diff 2A PH47;2A PH47;3563;44;414;22238;2312;-122
Diff 2B PH22;2B PH22;4142;-117;-2045;-12233;486;-357
Diff 2B PH42;2B PH42;5904;-29;-2765;-10408;-518;-484
Diff 2C PH23;2C PH23;1250;-521;-915;19867;4483;-315
Diff 2C PH30;2C PH30;1900;-58;-1065;19242;2340;-344
Diff 2D PH24;2D PH24;-2238;-488;-2652;-40168;-418;-43
Diff 2D PH35;2D PH35;-2875;-188;-1937;-8843;-256;-385
Diff 2D PH44;2D PH44;-713;-213;-2208;-27668;-1723;-348
Diff 2D PH48;2D PH48;-4688;-338;-937;-7468;1266;-301
Diff 2E PH25;2E PH25;2571;654;-165;2758;-1864;-77
Diff 2E PH31;2E PH31;3671;767;-365;15883;-1230;-210
Diff 2E PH36;2E PH36;4483;1167;713;40733;-653;-230
Diff 2E PH39;2E PH39;4733;1292;-1148;13308;-2235;-354
Diff 2F PH26;2F PH26;-529;-58;57;25933;2259;-175
Diff 2F PH40;2F PH40;-542;-8;148;25808;1984;-173
Diff 2G PH27;2G PH27;1546;393;522;5658;-675;-13
Diff 2G PH45;2G PH45;2733;668;-1954;-32642;-2915;-327
Diff 2H PH28;2H PH28;1975;433;210;30950;1308;-367
Diff 3A PH20;3A PH20;-3169;-244;-1134;-22713;32;-69
Diff 3B PH21;3B PH21;-3081;200;-2916;-47200;-2302;-69
Diff 4A PH32;4A PH32;2163;-6;192;-10013;-662;72
Diff 4B PH33;4B PH33;3144;-181;-32;-1413;102;-63
Diff 4C PH34;4C PH34;1969;-6;581;11638;984;113
Diff 4D PH37;4D PH37;3000;-175;261;8788;1249;96
Diff 4E PH38;4E PH38;325;144;966;17988;-117;-82
Diff 4F PH41;4F PH41;1350;-19;901;3638;-311;124
Diff 4G PH43;4G PH43;1263;169;-664;-13888;-2621;-28
Diff 4H PH46;4H PH46;125;-125;673;20788;1125;32
Diff 4I PH49;4I PH49;2363;-88;-544;22600;2506;-158
